SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3217 Grant St,Evanston,IL,60201,469000,3,1.0,Evanston,2000,4125,1953,15,235,,Active,,,https://www.redfin.com/IL/Evanston/3217-Grant-St-60201/home/13632960,MRED,11837270,N,Y,42.0590349,-87.7240964
MLS Listing,,Single Family Residential,1417 Lyons St,Evanston,IL,60201,825000,4,3.0,Evanston,2000,5800,1962,15,413,,Active,August-5-2023 12:00 PM,August-5-2023 02:00 PM,https://www.redfin.com/IL/Evanston/1417-Lyons-St-60201/home/13629577,MRED,11836527,N,Y,42.0505353,-87.6929082
MLS Listing,,Single Family Residential,1615 Ashland Ave,Evanston,IL,60201,975000,6,2.5,Evanston,4500,11616,1878,16,217,,Active,,,https://www.redfin.com/IL/Evanston/1615-Ashland-Ave-60201/home/13629047,MRED,11832596,N,Y,42.0477161,-87.6932995
MLS Listing,,Single Family Residential,2324 Lee St,Evanston,IL,60202,415000,4,2.0,Evanston,1302,5580,1954,16,319,,Active,,,https://www.redfin.com/IL/Evanston/2324-Lee-St-60202/home/13605549,MRED,11834005,N,Y,42.035315,-87.7066886
MLS Listing,,Single Family Residential,1915 Foster St,Evanston,IL,60201,419000,4,2.0,Evanston,,4125,1927,16,,,Active,August-6-2023 12:00 PM,August-6-2023 02:00 PM,https://www.redfin.com/IL/Evanston/1915-Foster-St-60201/home/13629972,MRED,11835066,N,Y,42.0539881,-87.6996522
MLS Listing,,Multi-Family (2-4 Unit),1023 Florence Ave,Evanston,IL,60202,785000,8,3.0,Evanston,,8712,1902,17,,,Active,,,https://www.redfin.com/IL/Evanston/1023-Florence-Ave-60202/home/182666678,MRED,11834764,N,Y,42.0367193,-87.6942621
MLS Listing,,Condo/Co-op,2715 Central St Unit 3S,Evanston,IL,60201,159400,2,1.0,Evanston,,55068,1946,17,,615,Active,,,https://www.redfin.com/IL/Evanston/2715-Central-St-60201/unit-3S/home/25688163,MRED,11834652,N,Y,42.0648434,-87.7114541
MLS Listing,,Condo/Co-op,1236 Chicago Ave #305,Evanston,IL,60202,349000,2,2.0,Chicago Avenue Place,,,2003,17,,726,Active,,,https://www.redfin.com/IL/Evanston/1236-Chicago-Ave-60202/unit-305/home/12685058,MRED,11834225,N,Y,42.0405123,-87.6810171
MLS Listing,,Condo/Co-op,1567 Ridge Ave #206,Evanston,IL,60201,139900,1,1.5,Evanston,800,,1969,17,175,492,Active,,,https://www.redfin.com/IL/Evanston/1567-Ridge-Ave-60201/unit-206/home/13580195,MRED,11818250,N,Y,42.0462955,-87.6883952
MLS Listing,,Vacant Land,3233 Central St,Evanston,IL,60201,1500000,,,Evanston,,27007,,17,,,Active,,,https://www.redfin.com/IL/Evanston/3233-Central-St-60201/home/144509129,MRED,11833700,N,Y,42.0647955,-87.7243227
MLS Listing,,Single Family Residential,9545 Hamlin Ave,Evanston,IL,60203,889000,4,2.5,Evanston,3934,9450,1942,19,226,,Active,,,https://www.redfin.com/IL/Evanston/9545-Hamlin-Ave-60203/home/13628375,MRED,11833001,N,Y,42.0549025,-87.7223219
MLS Listing,,Condo/Co-op,850 Hinman Ave #2,Evanston,IL,60202,179000,1,1.0,Evanston,,15100,1918,19,,257,Active,,,https://www.redfin.com/IL/Evanston/850-Hinman-Ave-60202/unit-2/home/13576649,MRED,11832861,N,Y,42.033551,-87.678176
MLS Listing,,Condo/Co-op,800 Elgin Rd #621,Evanston,IL,60201,385000,2,2.0,Optima Horizons,1260,,2004,20,306,919,Active,,,https://www.redfin.com/IL/Evanston/800-Elgin-Rd-60201/unit-621/home/12654918,MRED,11818352,N,Y,42.050618,-87.6828445
MLS Listing,,Condo/Co-op,1101 Grove St Unit 7A,Evanston,IL,60201,299000,2,2.0,Evanston,1250,,1964,20,239,411,Active,,,https://www.redfin.com/IL/Evanston/1101-Grove-St-60201/unit-7A/home/13579589,MRED,11831770,N,Y,42.0458781,-87.687182
MLS Listing,,Single Family Residential,1719 Leland Ave,Evanston,IL,60201,449000,3,2.0,Evanston,1100,3403,1947,21,408,,Active,,,https://www.redfin.com/IL/Evanston/1719-Leland-Ave-60201/home/13629175,MRED,11831268,N,Y,42.048994,-87.7069662
MLS Listing,,Single Family Residential,3521 Central St,Evanston,IL,60201,539000,3,1.5,Evanston,1687,5009,1955,21,320,,Active,August-5-2023 12:00 PM,August-5-2023 01:00 PM,https://www.redfin.com/IL/Evanston/3521-Central-St-60201/home/13775523,MRED,11831105,N,Y,42.0649543,-87.7298626
MLS Listing,,Single Family Residential,1325 Judson Ave,Evanston,IL,60201,1225000,5,4.0,Evanston,2032,4500,1872,21,603,,Active,,,https://www.redfin.com/IL/Evanston/1325-Judson-Ave-60201/home/13580834,MRED,11831007,N,Y,42.0420894,-87.6765531
MLS Listing,,Condo/Co-op,1720 Maple Ave #1170,Evanston,IL,60201,318000,1,1.0,Evanston,,,2003,21,,379,Active,,,https://www.redfin.com/IL/Evanston/1720-Maple-Ave-60201/unit-1170/home/12684854,MRED,11830292,N,Y,42.0496024,-87.685239
